keyword_id,profile_id,raw_keyword,source_section,source_weight
6836b72d-5af5-4a3d-8a4a-4cccb30cfd13,639a2e46-1f1b-4d39-bf3e-786c15609979,R (Programming Language),skills,1.0
7ad464ac-11db-4057-86e6-5155c3be0a6d,639a2e46-1f1b-4d39-bf3e-786c15609979,Microsurgery,skills,1.0
6ce18569-c589-4da3-895e-32f3675192ed,639a2e46-1f1b-4d39-bf3e-786c15609979,Chemogenetics,skills,1.0
e2de2301-c7f2-48bd-bfa6-7f8c3fa85fa8,639a2e46-1f1b-4d39-bf3e-786c15609979,Optogenetics,skills,1.0
90ec242d-b69f-4c3e-9801-1cd40d7a9f56,639a2e46-1f1b-4d39-bf3e-786c15609979,Mouse Models,skills,1.0
7b053cfb-2dfd-46d4-b2ec-87dcf8784356,639a2e46-1f1b-4d39-bf3e-786c15609979,Writing,skills,1.0
f92141ac-6e53-49c4-b919-2da3da13f8d1,639a2e46-1f1b-4d39-bf3e-786c15609979,Manuscript,skills,1.0
1fea1039-12e4-4b83-b45e-ef4b9d3ffa54,639a2e46-1f1b-4d39-bf3e-786c15609979,Editing,skills,1.0
1121651f-cf07-4a92-99df-7256fa2ea998,639a2e46-1f1b-4d39-bf3e-786c15609979,Computer Literacy,skills,1.0
a8e713dd-2a79-468a-8822-3b978c7250a3,639a2e46-1f1b-4d39-bf3e-786c15609979,Academic Editing,skills,1.0
1b694643-f05e-4816-89f8-8af4b9a2fdb0,639a2e46-1f1b-4d39-bf3e-786c15609979,Mechanical fatigue of whole rabbit-tibiae under combined compression-torsional loading is better explained by strained volume than peak strain magnitude,publications,0.9
9446e787-a7f1-464b-9c6f-08b76fc92283,639a2e46-1f1b-4d39-bf3e-786c15609979,Finite-element modelling to predict the fatigue life of rabbit tibiae subject to compression-torsional loading,publications,0.9
a748ca9e-cbaf-4e9a-bba4-7b7ae7a6f304,639a2e46-1f1b-4d39-bf3e-786c15609979,"The focus of my thesis work is to better understand and treat cardiovascular dysfunction following spinal cord injury through the use of epidural spinal stimulation. Individuals living with spinal cord injury are at a four-fold greater risk of developing cardiovascular disease than uninjured individuals, so developing and testing a therapeutic for this condition is of the utmost importance to improve health outcomes in this population",experience,0.5
b1993e2d-fa77-47cf-bd16-3326e959e024,639a2e46-1f1b-4d39-bf3e-786c15609979,"As a member of the Affiliate Management Committee, I am responsible for ensuring that there is a clear vision for Special Olympics Calgary that is founded in championing the health and social benefits afforded to Calgarians with an intellectual disability through the Special Olympics programs offered",experience,0.5
7c8d4a68-701f-4cd8-af13-988d85055432,639a2e46-1f1b-4d39-bf3e-786c15609979,"As Social Director for the HBITO, I was responsible for organizing and running the social events of the HBITO. The aim of these events was to bring together trainees from the HBI of all all levels (MSc, PhD, and Post-Doctoral Fellows) in an informal setting to get to know one another and foster a better sense of community",experience,0.5
950f63f7-31d1-4846-b91f-103fb1a6d2da,639a2e46-1f1b-4d39-bf3e-786c15609979,"Line cook for JOEY Crowfoot. Responsibilities included preparing and cooking meals for customers, maintaining kitchen cleanliness, and training new cooks to the kitchen. After starting out as an appetizers cook, I was promoted to an entrée cook after only 4 shifts on the job",experience,0.5
df276a72-0f36-458f-a42a-bcbf00b84a76,b033cf86-58d8-4d70-b0e1-26881c3adb66,Locus coeruleus microcircuitry processes periaqueductal gray inputs into distinct outputs for regulation of pain and anxiety,publications,0.9
480e78b3-9c9d-4c8c-b996-9a44cd21671b,b033cf86-58d8-4d70-b0e1-26881c3adb66,Pannexin-1 channel inhibition alleviates opioid withdrawal by modulating locus coeruleus to spinal cord circuitry,publications,0.9
3f9f0c28-e799-4acb-b812-1c3f6069bb85,b033cf86-58d8-4d70-b0e1-26881c3adb66,Expression of GAD2 in excitatory neurons projecting from the ventrolateral periaqueductal gray to the locus coeruleus,publications,0.9
e5710f2a-dcb9-4fa3-b0cb-a8c8927de103,b033cf86-58d8-4d70-b0e1-26881c3adb66,Differential regulation of Cav3.2 and Cav2.2 calcium channels by CB1 receptors and cannabidiol,publications,0.9
bd35f3a8-cb02-4995-82d9-4e609ae52a22,b033cf86-58d8-4d70-b0e1-26881c3adb66,Central and peripheral contributions of T-type calcium channels in pain,publications,0.9
586c68d9-b861-478e-baee-08901d7692a0,b033cf86-58d8-4d70-b0e1-26881c3adb66,"The T-type calcium channel antagonist, Z944, reduces spinal excitability and pain hypersensitivity",publications,0.9
85cc3f52-9eae-4548-abd7-41bdf2e66a73,b033cf86-58d8-4d70-b0e1-26881c3adb66,Chapter 17 - Changing Pain - Opioids and Pain,publications,0.9
19f7afe2-cba2-43f5-b037-5b6ae3907c95,b033cf86-58d8-4d70-b0e1-26881c3adb66,Insights into spinal dorsal horn circuit function and dysfunction using optical approaches,publications,0.9
c2a5d31b-0859-4bb0-b16d-1e782c0a4653,b033cf86-58d8-4d70-b0e1-26881c3adb66,Intracellular calcium responses encode action potential firing in spinal cord lamina I neurons,publications,0.9
35b99fcc-b77b-4852-a187-4efc2ceaffcf,b033cf86-58d8-4d70-b0e1-26881c3adb66,VIP cortical conductors set the tone for chronic pain,publications,0.9
f503d189-f7e3-41b8-9bb5-43ffc0374e21,efdbc8f3-283f-4d55-8d4a-cf4403e08152,Circadian Rhythms,skills,1.0
4becca31-7eaf-4abc-8ce7-042fbb9e0a20,efdbc8f3-283f-4d55-8d4a-cf4403e08152,Student Trainee at University of Calgary,skills,1.0
baa1202a-6968-4c35-a17e-2d661f191b78,efdbc8f3-283f-4d55-8d4a-cf4403e08152,"Agonists for glutamate, acetylcholine, and orexin cause non-photic phase shifts when applied to the intergeniculate leaflet",publications,0.9
afa3b599-94b7-49e6-b3a5-4b82cb83f3f5,ffc02b17-87bd-41f4-ab71-db6024e7dc40,Professor with a demonstrated history of leadership in the higher education,about,0.8
1453eb87-97d0-4825-ad36-0ad60ce2da0c,ffc02b17-87bd-41f4-ab71-db6024e7dc40,Skilled in MR Imaging,about,0.8
804b8add-6ebc-4949-9da4-137db086f630,ffc02b17-87bd-41f4-ab71-db6024e7dc40,Clinical Research,about,0.8
bd34116c-a4bb-47b1-8bd5-857a5e1ed9d9,ffc02b17-87bd-41f4-ab71-db6024e7dc40,Biomedical Engineering,about,0.8
aab0fd76-ef89-45c1-9d70-c5e21da715b3,ffc02b17-87bd-41f4-ab71-db6024e7dc40,Medical Physics,about,0.8
6e57b021-97ce-4474-a630-227af1a58b58,ffc02b17-87bd-41f4-ab71-db6024e7dc40,and Science,about,0.8
febdffd1-de8f-4126-a4d0-3e625dfaedcf,ffc02b17-87bd-41f4-ab71-db6024e7dc40,Professional with a Doctor of Philosophy (PhD) in Medical Biophysics from Western University,about,0.8
